,회사명,종목코드,업종
0,DSR,155660,1차 비철금속 제조업
1,GS글로벌,001250,상품 종합 도매업
2,HDC현대산업개발,294870,건물 건설업
3,KG동부제철,016380,1차 철강 제조업
4,KG케미칼,001390,기초 화학물질 제조업
5,LG이노텍,011070,전자부품 제조업
6,LG전자,066570,통신 및 방송 장비 제조업
7,LG헬로비전,037560,텔레비전 방송업
8,OCI,010060,기초 화학물질 제조업
9,SK이노베이션,096770,석유 정제품 제조업
10,STX,011810,상품 종합 도매업
11,WISCOM,024070,플라스틱제품 제조업
12,갤럭시아에스엠,011420,스포츠 서비스업
13,국도화학,007690,기초 화학물질 제조업
14,극동유화,014530,석유 정제품 제조업
15,까뮤이앤씨,013700,건물 건설업
16,남선알미늄,008350,1차 비철금속 제조업
17,대덕전자,353200,전자부품 제조업
18,대웅,003090,기타 금융업
19,두산,000150,회사 본부 및 경영 컨설팅 서비스업
20,두산인프라코어,042670,특수 목적용 기계 제조업
21,디피씨,026890,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
22,락앤락,115390,플라스틱제품 제조업
23,롯데정보통신,286940,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
24,마니커,027740,"도축, 육류 가공 및 저장 처리업"
25,메리츠증권,008560,금융 지원 서비스업
26,모두투어리츠,204210,부동산 임대 및 공급업
27,부국증권,001270,금융 지원 서비스업
28,삼성SDI,006400,일차전지 및 축전지 제조업
29,삼성엔지니어링,028050,"건축기술, 엔지니어링 및 관련 기술 서비스업"
30,삼성출판사,068290,"서적, 잡지 및 기타 인쇄물 출판업"
31,삼성화재해상보험,000810,보험업
32,삼영전자공업,005680,전자부품 제조업
33,삼영화학공업,003720,플라스틱제품 제조업
34,삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업
35,상상인증권,001290,금융 지원 서비스업
36,선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
37,선진,136490,동물용 사료 및 조제식품 제조업
38,세기상사,002420,"영화, 비디오물, 방송프로그램 제작 및 배급업"
39,세방전지,004490,일차전지 및 축전지 제조업
40,세아제강지주,003030,기타 금융업
41,신한알파리츠,293940,부동산 임대 및 공급업
42,신한지주,055550,기타 금융업
43,쌍용자동차,003620,자동차용 엔진 및 자동차 제조업
44,영화금속,012280,자동차 신품 부품 제조업
45,오뚜기,007310,기타 식품 제조업
46,윌비스,008600,생활용품 도매업
47,유나이티드,033270,의약품 제조업
48,인지컨트롤스,023800,자동차 신품 부품 제조업
49,인터지스,129260,도로 화물 운송업
50,일성건설,013360,토목 건설업
51,일진다이아,081000,기타 화학제품 제조업
52,자화전자,033240,전자부품 제조업
53,제일약품,271980,의약품 제조업
54,제일연마,001560,기타 비금속 광물제품 제조업
55,제일파마홀딩스,002620,회사 본부 및 경영 컨설팅 서비스업
56,조흥,002600,기타 식품 제조업
57,종근당홀딩스,001630,의약품 제조업
58,지역난방공사,071320,"증기, 냉·온수 및 공기조절 공급업"
59,진도,088790,기타 전문 도매업
60,진양산업,003780,플라스틱제품 제조업
61,코오롱인더,120110,화학섬유 제조업
62,키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
63,태경산업,015890,기초 화학물질 제조업
64,태양금속공업,004100,자동차 신품 부품 제조업
65,포스코,005490,1차 철강 제조업
66,포스코강판,058430,1차 철강 제조업
67,필룩스,033180,전자부품 제조업
68,한국공항,005430,기타 운송관련 서비스업
69,한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업"
70,한국패러랠,168490,신탁업 및 집합투자업
71,한솔로지스틱스,009180,기타 운송관련 서비스업
72,한일철강,002220,1차 철강 제조업
73,한창제지,009460,"펄프, 종이 및 판지 제조업"
74,한화생명,088350,보험업
75,현대건설,000720,토목 건설업
76,현대건설기계,267270,일반 목적용 기계 제조업
77,현대비앤지스틸,004560,1차 철강 제조업
78,현대엘리베이터,017800,일반 목적용 기계 제조업
79,현대차증권,001500,금융 지원 서비스업
80,호전실업,111110,봉제의복 제조업
81,DB금융스팩9호,367360,금융 지원 서비스업
82,EDGC,245620,자연과학 및 공학 연구개발업
83,GST,083450,특수 목적용 기계 제조업
84,GS홈쇼핑,028150,텔레비전 방송업
85,IBKS제13호스팩,351340,금융 지원 서비스업
86,JW신약,067290,의약품 제조업
87,KB오토시스,024120,자동차 신품 부품 제조업
88,KH바텍,060720,전자부품 제조업
89,SK5호스팩,337450,금융 지원 서비스업
90,SK6호스팩,340350,금융 지원 서비스업
91,YW,051390,상품 종합 도매업
92,감마누,192410,통신 및 방송 장비 제조업
93,강스템바이오텍,217730,기초 의약물질 및 생물학적 제제 제조업
94,경남바이오파마,044480,고무제품 제조업
95,경창산업,024910,자동차 신품 부품 제조업
96,골프존,215000,소프트웨어 개발 및 공급업
97,국순당,043650,알코올음료 제조업
98,국일제지,078130,기타 종이 및 판지 제품 제조업
99,그리티,204020,봉제의복 제조업
100,나노브릭,286750,기초 화학물질 제조업
101,나노스,151910,전자부품 제조업
102,네오위즈,095660,소프트웨어 개발 및 공급업
103,네오티스,085910,자동차 신품 부품 제조업
104,네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업
105,녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업
106,뉴인텍,012340,전자부품 제조업
107,뉴프렉스,085670,전자부품 제조업
108,대봉엘에스,078140,의약품 제조업
109,대신밸런스제9호스팩,369370,금융 지원 서비스업
110,대양제지,006580,"펄프, 종이 및 판지 제조업"
111,대유,290380,"비료, 농약 및 살균, 살충제 제조업"
112,대유에이피,290120,자동차 신품 부품 제조업
113,대주산업,003310,동물용 사료 및 조제식품 제조업
114,대한그린파워,060900,기타 화학제품 제조업
115,대한약품,023910,의약품 제조업
116,동구바이오제약,006620,의약품 제조업
117,디에이테크놀로지,196490,특수 목적용 기계 제조업
118,디에이피,066900,전자부품 제조업
119,디엔에이링크,127120,자연과학 및 공학 연구개발업
120,디엔에프,092070,기타 화학제품 제조업
121,디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
122,룽투코리아,060240,소프트웨어 개발 및 공급업
123,링크제니시스,219420,소프트웨어 개발 및 공급업
124,메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업
125,메이슨캐피탈,021880,기타 금융업
126,메탈라이프,327260,전자부품 제조업
127,모두투어,080160,여행사 및 기타 여행보조 서비스업
128,모비스,250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
129,모트렉스,118990,자동차 신품 부품 제조업
130,미래SCI,028040,상품 중개업
131,미스터블루,207760,기타 정보 서비스업
132,미코바이오메드,214610,의료용 기기 제조업
133,바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업
134,바이넥스,053030,의약품 제조업
135,브랜드엑스코퍼레이션,337930,기타 정보 서비스업
136,삼보판지,023600,"펄프, 종이 및 판지 제조업"
137,삼본전자,111870,영상 및 음향기기 제조업
138,삼아제약,009300,의약품 제조업
139,상지카일룸,042940,건물 건설업
140,서암기계공업,100660,일반 목적용 기계 제조업
141,선진뷰티사이언스,086710,기타 화학제품 제조업
142,성창오토텍,080470,자동차 신품 부품 제조업
143,세보엠이씨,011560,건물설비 설치 공사업
144,세종메디칼,258830,의료용 기기 제조업
145,세코닉스,053450,사진장비 및 광학기기 제조업
146,센트럴바이오,051980,플라스틱제품 제조업
147,셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업
148,셀바스헬스케어,208370,의료용 기기 제조업
149,셀트리온제약,068760,의약품 제조업
150,소리바다,053110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
151,스킨앤스킨,159910,기타 화학제품 제조업
152,스튜디오산타클로스,204630,창작 및 예술관련 서비스업
153,스페코,013810,특수 목적용 기계 제조업
154,시스웍,269620,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
155,심텍,222800,전자부품 제조업
156,쌍용정보통신,010280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
157,씨유메디칼,115480,의료용 기기 제조업
158,씨이랩,189330,소프트웨어 개발 및 공급업
159,씨케이에이치,900120,기타 금융업
160,아나패스,123860,반도체 제조업
161,아이센스,099190,의료용 기기 제조업
162,아이씨디,040910,특수 목적용 기계 제조업
163,아이씨케이,068940,전자부품 제조업
164,아이오케이,078860,"영화, 비디오물, 방송프로그램 제작 및 배급업"
165,아이원스,114810,특수 목적용 기계 제조업
166,아이즈비전,031310,전기 통신업
167,아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
168,알에프세미,096610,반도체 제조업
169,알에프텍,061040,통신 및 방송 장비 제조업
170,애니플러스,310200,"영화, 비디오물, 방송프로그램 제작 및 배급업"
171,어보브반도체,102120,반도체 제조업
172,에스앤더블류,103230,일반 목적용 기계 제조업
173,에스앤에스텍,101490,전자부품 제조업
174,에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
175,에쎈테크,043340,일반 목적용 기계 제조업
176,에이루트,096690,컴퓨터 및 주변장치 제조업
177,에이스토리,241840,"영화, 비디오물, 방송프로그램 제작 및 배급업"
178,에이치엔티,176440,전자부품 제조업
179,에이치엘비파워,043220,특수 목적용 기계 제조업
180,에이티넘인베스트,021080,신탁업 및 집합투자업
181,엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업
182,엑스큐어,070300,소프트웨어 개발 및 공급업
183,엑시콘,092870,특수 목적용 기계 제조업
184,엘아이에스,138690,특수 목적용 기계 제조업
185,엠게임,058630,소프트웨어 개발 및 공급업
186,엠벤처투자,019590,신탁업 및 집합투자업
187,엠씨넥스,097520,영상 및 음향기기 제조업
188,영화테크,265560,자동차 신품 부품 제조업
189,오공,045060,기타 화학제품 제조업
190,오스템임플란트,048260,의료용 기기 제조업
191,오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
192,옵티시스,109080,통신 및 방송 장비 제조업
193,우리바이오,082850,전구 및 조명장치 제조업
194,원익QnC,074600,유리 및 유리제품 제조업
195,웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
196,웰크론,065950,직물직조 및 직물제품 제조업
197,위지트,036090,특수 목적용 기계 제조업
198,유니온커뮤니티,203450,통신 및 방송 장비 제조업
199,유니테크노,241690,자동차 신품 부품 제조업
200,유비쿼스홀딩스,078070,통신 및 방송 장비 제조업
201,유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업"
202,유안타제5호스팩,336060,금융 지원 서비스업
203,유안타제7호스팩,367460,금융 지원 서비스업
204,유진스팩5호,331380,금융 지원 서비스업
205,유티아이,179900,전자부품 제조업
206,이스트소프트,047560,소프트웨어 개발 및 공급업
207,이스트아시아홀딩스,900110,기타 금융업
208,이엠네트웍스,087730,합성고무 및 플라스틱 물질 제조업
209,이엠넷,123570,광고업
210,이지바이오,353810,동물용 사료 및 조제식품 제조업
211,인베니아,079950,특수 목적용 기계 제조업
212,인텍플러스,064290,특수 목적용 기계 제조업
213,자비스,254120,특수 목적용 기계 제조업
214,자이글,234920,가정용 기기 제조업
215,정상제이엘에스,040420,일반 교습 학원
216,제우스,079370,특수 목적용 기계 제조업
217,제이씨현시스템,033320,기계장비 및 관련 물품 도매업
218,제이엠티,094970,전자부품 제조업
219,제주반도체,080220,반도체 제조업
220,조아제약,034940,의약품 제조업
221,주성엔지니어링,036930,특수 목적용 기계 제조업
222,지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
223,지엔코,065060,봉제의복 제조업
224,캐스텍코리아,071850,자동차 신품 부품 제조업
225,케이비제20호스팩,342550,금융 지원 서비스업
226,케이피엠테크,042040,기타 화학제품 제조업
227,케이피티유,054410,기타 금속 가공제품 제조업
228,켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업"
229,코렌,078650,사진장비 및 광학기기 제조업
230,코스온,069110,기타 화학제품 제조업
231,코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업
232,코프라,126600,합성고무 및 플라스틱 물질 제조업
233,크로바하이텍,043590,반도체 제조업
234,키네마스터,139670,소프트웨어 개발 및 공급업
235,토탈소프트,045340,소프트웨어 개발 및 공급업
236,트루윈,105550,전자부품 제조업
237,특수건설,026150,토목 건설업
238,티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
239,티케이케미칼,104480,화학섬유 제조업
240,파라텍,033540,특수 목적용 기계 제조업
241,파세코,037070,가정용 기기 제조업
242,파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
243,파커스,065690,반도체 제조업
244,판타지오,032800,창작 및 예술관련 서비스업
245,패션플랫폼,225590,봉제의복 제조업
246,푸드웰,005670,"과실, 채소 가공 및 저장 처리업"
247,푸른저축은행,007330,은행 및 저축기관
248,프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업
249,프리시젼바이오,335810,의료용 기기 제조업
250,피델릭스,032580,반도체 제조업
251,피에스엠씨,024850,전자부품 제조업
252,하나금융15호스팩,341160,금융 지원 서비스업
253,하나기술,299030,특수 목적용 기계 제조업
254,하이즈항공,221840,"항공기,우주선 및 부품 제조업"
255,한국경제TV,039340,텔레비전 방송업
256,한국맥널티,222980,기타 식품 제조업
257,한국선재,025550,1차 철강 제조업
258,한국코퍼레이션,050540,기타 사업지원 서비스업
259,한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
260,한양디지텍,078350,반도체 제조업
261,한일화학,007770,기초 화학물질 제조업
262,현대무벡스,319400,일반 목적용 기계 제조업
263,현대바이오,048410,기타 화학제품 제조업
264,현대바이오랜드,052260,기타 화학제품 제조업
265,화성밸브,039610,일반 목적용 기계 제조업
266,휴맥스,115160,영상 및 음향기기 제조업
267,희림,037440,"건축기술, 엔지니어링 및 관련 기술 서비스업"
268,나눔테크,244880,의료용 기기 제조업
